Table 1.1.5. Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars] Seasonally adjusted at annual rates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 27, 2020 - Next Release Date September 30, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,        Gross domestic product,10472879,10597822,10596294,10660294,10788952,10893207,10992051,11071463,11183507,11312875,11567326,11769275,11920169,12108987,12303340,12522425,12761337,12910022,13142873,13332316,13603933,13749806,13867469,14037228,14208569,14382363,14535003,14681501,14651039,14805611,14835187,14559543,14394547,14352850,14420312,14628021,14721350,14926098,15079917,15240843,15285828,15496189,15591850,15796460,16019758,16152257,16257151,16358863,16569591,16637926,16848748,17083137,17104555,17432909,17721657,17849912,18003399,18223577,18347425,18378803,18470156,18656207,18821359,19032580,19237435,19379232,19617288,19937963,20242215,20552653,20742723,20909853,21115309,21329877,21540325,21747394,21561139,19486509
2,Personal consumption expenditures,6986889,7036337,7064655,7174656,7209940,7302112,7390943,7467749,7555778,7642600,7802573,7891485,8027745,8133005,8264342,8425557,8522955,8671428,8849203,8944885,9090652,9210245,9333029,9407453,9549431,9644740,9753799,9877752,9934253,10052843,10080964,9837261,9756126,9760216,9895401,9957092,10040485,10131767,10220606,10350484,10485358,10612125,10705367,10761586,10922442,10964858,11014245,11125711,11223180,11239592,11330946,11475123,11574229,11756878,11915359,12044547,12099073,12255535,12389313,12446001,12551649,12707522,12841158,12979520,13153192,13241268,13370922,13596036,13755546,13939903,14086264,14191412,14276587,14497320,14645313,14759183,14545460,13046732
3,    Goods,2499246,2510106,2515247,2577774,2561883,2586933,2618442,2627961,2657334,2677898,2766247,2788911,2843234,2868978,2911339,2984533,3001947,3057414,3137844,3134486,3196843,3226093,3273437,3262249,3308125,3351800,3380010,3428187,3406368,3443532,3427907,3175077,3120027,3134475,3228477,3237111,3266153,3291234,3315119,3398792,3469035,3514457,3527775,3561217,3628717,3616376,3631806,3674058,3731613,3699333,3730352,3758593,3789521,3862947,3897907,3901450,3867908,3927357,3960436,3936269,3939037,3990163,4017540,4046668,4108068,4130306,4177294,4273352,4315557,4368768,4394827,4408264,4415159,4517679,4553619,4562374,4552919,4364310
4,        Durable goods,926811,919479,923888,995882,976249,977397,1001720,986105,974533,1007819,1041776,1047074,1064229,1065972,1085046,1107050,1109964,1137918,1151814,1114745,1154128,1149249,1160532,1169422,1179022,1185692,1191859,1195599,1153509,1137729,1095819,1007986,1004480,994700,1035104,1014201,1021085,1043901,1052423,1078441,1087927,1082903,1090755,1112409,1138093,1133557,1141673,1163561,1188767,1185454,1188946,1194486,1203518,1239425,1255633,1269727,1283823,1309627,1318493,1318478,1330962,1339985,1360810,1369132,1383173,1394003,1412984,1452553,1461760,1482554,1488739,1493154,1494454,1535984,1552836,1554131,1496444,1480088
5,        Nondurable goods,1572434,1590627,1591359,1581892,1585634,1609535,1616722,1641855,1682801,1670079,1724470,1741837,1779005,1803006,1826294,1877483,1891983,1919496,1986031,2019741,2042714,2076844,2112905,2092827,2129103,2166108,2188151,2232589,2252859,2305803,2332089,2167090,2115548,2139774,2193373,2222909,2245069,2247333,2262696,2320351,2381108,2431554,2437019,2448807,2490624,2482819,2490133,2510497,2542846,2513879,2541405,2564108,2586003,2623522,2642275,2631723,2584085,2617730,2641944,2617791,2608075,2650178,2656730,2677536,2724895,2736303,2764310,2820799,2853797,2886214,2906088,2915110,2920704,2981695,3000783,3008243,3056474,2884223
6,    Services,4487643,4526231,4549408,4596882,4648057,4715179,4772501,4839789,4898444,4964702,5036326,5102574,5184511,5264027,5353003,5441024,5521008,5614014,5711358,5810399,5893810,5984152,6059592,6145204,6241307,6292939,6373789,6449565,6527885,6609311,6653057,6662184,6636099,6625741,6666924,6719981,6774332,6840533,6905487,6951692,7016323,7097668,7177592,7200370,7293725,7348482,7382439,7451654,7491567,7540259,7600595,7716530,7784708,7893930,8017452,8143097,8231165,8328178,8428877,8509732,8612612,8717359,8823618,8932852,9045123,9110961,9193627,9322684,9439990,9571135,9691437,9783149,9861429,9979641,10091694,10196809,9992541,8682421
7,Gross private domestic investment,1971333,1973033,1944909,1850091,1912659,1933282,1933197,1942531,1960221,1972386,2044304,2131311,2154052,2262607,2318272,2390082,2486068,2476474,2531076,2645263,2709740,2709252,2709420,2675406,2664295,2699217,2685969,2642560,2563701,2540595,2498242,2307915,2014878,1863650,1841416,1998710,2038161,2148795,2236495,2238440,2205962,2297352,2322840,2504095,2567750,2636863,2644119,2638282,2738236,2775276,2879995,2910546,2899216,3030425,3107620,3139452,3245050,3245825,3251670,3206098,3166041,3157884,3167007,3262433,3266198,3313268,3378844,3446266,3555014,3580926,3671718,3723856,3772798,3739658,3759796,3732637,3675871,3134201
8,    Fixed investment,2001963,1984593,1975026,1930920,1912366,1912113,1907764,1909528,1934140,1978873,2043866,2094966,2108027,2188618,2254106,2317993,2383590,2447639,2518722,2558875,2631526,2633739,2630666,2631930,2642923,2656992,2641047,2615279,2580374,2562847,2514067,2370130,2165874,2059651,2045422,2050795,2039398,2112087,2123598,2171138,2173885,2236305,2334873,2400138,2487473,2545458,2559690,2609548,2655966,2687519,2743781,2798665,2846963,2934034,3008181,3051671,3069402,3095820,3124874,3111409,3116615,3141039,3171870,3210434,3278450,3309238,3333781,3417812,3510466,3570215,3593345,3626543,3674180,3686598,3718480,3729231,3727988,3432068
9,        Nonresidential,1505248,1473585,1452580,1408856,1374027,1357267,1348884,1331215,1332696,1366842,1392121,1411859,1401830,1445457,1490495,1531693,1568306,1603838,1643130,1668669,1735308,1774400,1815947,1849549,1892034,1937718,1967377,1997123,2013699,2024039,2007007,1918738,1761401,1684966,1656037,1659323,1659963,1715746,1762364,1801850,1805118,1862009,1953756,2008976,2073366,2126171,2125950,2148622,2170890,2180344,2220723,2274020,2314877,2383610,2439762,2461978,2464267,2472522,2479159,2450273,2430238,2448622,2472952,2490186,2532463,2555945,2575242,2634243,2716184,2765936,2792621,2831866,2878407,2891333,2907961,2902271,2859285,2658026
10,            Structures,331757,338872,347091,316321,302665,289347,278214,277719,279223,286906,287938,292354,292302,300777,313984,323550,337524,344955,355751,373603,397604,420098,435822,447221,469629,498116,526678,546786,556860,571937,578839,576791,527728,473070,429528,392940,368793,382076,379089,389176,362208,392671,421163,441786,470093,488086,484703,474859,462990,480030,507539,519526,546748,574732,586032,602985,596891,598978,582656,558885,536263,550029,571291,583557,600136,604524,592320,599295,629226,640678,634196,621508,640067,649683,658821,652320,648654,584953
11,            Equipment,751676,716017,692401,685974,667253,661929,661341,648036,644287,665224,680669,692293,681801,713497,734204,758084,768581,786904,808296,815793,850152,857640,867410,873929,886253,897845,896020,893612,885403,871824,852110,772186,683537,652184,662038,683287,719807,763672,804497,820133,839817,854272,904533,926474,957835,984355,984294,1007118,1022809,1017988,1016528,1050866,1058153,1085246,1116993,1107383,1115646,1117437,1130888,1113944,1102396,1088784,1083140,1079931,1094324,1107541,1124678,1162443,1189601,1196955,1219561,1247577,1256475,1243127,1234919,1229294,1181562,1057150
12,            Intellectual property products,421815,418696,413087,406561,404110,405991,409328,405460,409186,414712,423514,427212,427726,431184,442307,450058,462200,471979,479083,479272,487552,496662,512716,528399,536152,541758,544679,556724,571436,580278,576058,569762,550136,559711,564471,583096,571363,569998,578778,592540,603092,615066,628060,640716,645438,653729,656953,666645,685091,682326,696656,703628,709976,723632,736736,751609,751730,756107,765615,777444,791580,809808,818521,826698,838002,843880,858244,872504,897356,928303,938865,962781,981865,998523,1014220,1020657,1029069,1015924
13,        Residential,496716,511008,522446,522064,538339,554846,558880,578313,601444,612032,651745,683107,706197,743160,763611,786299,815285,843801,875593,890206,896218,859339,814718,782381,750889,719274,673671,618156,566675,538808,507060,451391,404473,374685,389385,391472,379435,396341,361234,369289,368767,374296,381117,391162,414107,419287,433740,460926,485076,507175,523058,524645,532086,550424,568419,589694,605135,623298,645715,661136,686377,692417,698918,720248,745988,753293,758539,783569,794282,804279,800724,794677,795773,795265,810519,826960,868702,774041
14,    Change in private inventories,-30631,-11560,-30116,-80829,293,21169,25433,33004,26081,-6488,438,36345,46025,73989,64166,72089,102477,28835,12353,86388,78214,75513,78754,43476,21372,42225,44922,27281,-16673,-22252,-15825,-62215,-150996,-196001,-204006,-52084,-1237,36708,112897,67301,32078,61047,-12033,103956,80278,91406,84429,28734,82270,87757,136215,111881,52253,96391,99439,87781,175648,150005,126797,94689,49426,16844,-4863,51999,-12253,4030,45063,28454,44548,10711,78373,97313,98618,53060,41316,3406,-52117,-297866
15,Net exports of goods and services,-390755,-358543,-365976,-356441,-372592,-415681,-432521,-480814,-504852,-501536,-500763,-505355,-548966,-608024,-636429,-682881,-674590,-690790,-732505,-786886,-777158,-780585,-805630,-720325,-724314,-731908,-713796,-703687,-756179,-758947,-771564,-605663,-396112,-338611,-405497,-445584,-489179,-519127,-535095,-512210,-561474,-581865,-573850,-600657,-615102,-580505,-540838,-537839,-516863,-508931,-496282,-441051,-506318,-507643,-492266,-524406,-528778,-508342,-542670,-526494,-513898,-492334,-497713,-546102,-543562,-559521,-543581,-575470,-589808,-548149,-646433,-653448,-615543,-644744,-631838,-549757,-494307,-536818
16,    Exports,1095054,1052590,996394,954505,970716,1003906,1017154,1003188,1008180,1007930,1038108,1090490,1137713,1167759,1182712,1222340,1264763,1296030,1307139,1352968,1413011,1459973,1477849,1539619,1577081,1622140,1683704,1760490,1810993,1909719,1921772,1705736,1514327,1518333,1591059,1704264,1746875,1810006,1865624,1962617,2030271,2105084,2138792,2137832,2164599,2192129,2201780,2206611,2239163,2250667,2269443,2334440,2335909,2387115,2391892,2371898,2295028,2296204,2255524,2216692,2177265,2207832,2258175,2265425,2326357,2333107,2370118,2468658,2507185,2550287,2523896,2533449,2523469,2514644,2505219,2515671,2438710,1798525
17,        Goods,797080,761375,715163,691203,687518,714335,725020,709233,719221,719965,734961,774089,799325,824109,836705,859711,886003,919871,924216,957567,1004941,1036295,1053763,1084749,1106916,1137960,1177553,1222656,1275394,1352971,1372664,1169117,1005868,1005509,1067954,1154374,1201129,1251415,1282727,1354488,1411743,1463234,1482448,1491631,1507370,1524886,1533315,1520758,1534869,1542202,1552640,1607129,1591456,1628127,1633904,1606330,1521974,1524767,1485563,1446115,1412246,1428373,1460445,1474973,1513644,1504917,1533450,1615066,1635406,1693491,1660463,1666339,1660572,1631122,1626042,1629139,1599009,1134747
18,        Services,297974,291215,281232,263301,283197,289572,292135,293955,288958,287966,303146,316401,338388,343650,346008,362629,378760,376159,382923,395402,408070,423678,424086,454870,470165,484180,506151,537834,535599,556748,549108,536619,508458,512825,523105,549890,545746,558591,582897,608129,618528,641849,656344,646201,657230,667243,668465,685853,704295,708465,716804,727311,744453,758988,757987,765568,773054,771438,769961,770577,765019,779459,797730,790452,812713,828190,836668,853592,871779,856796,863432,867110,862897,883522,879177,886532,839701,663778
19,    Imports,1485809,1411134,1362370,1310946,1343308,1419588,1449676,1484002,1513031,1509466,1538871,1595845,1686679,1775782,1819141,1905222,1939353,1986820,2039644,2139854,2190169,2240558,2283479,2259944,2301394,2354048,2397500,2464176,2567171,2668666,2693336,2311399,1910439,1856945,1996556,2149849,2236054,2329133,2400719,2474827,2591745,2686949,2712642,2738489,2779701,2772634,2742618,2744450,2756026,2759598,2765726,2775491,2842227,2894758,2884158,2896305,2823806,2804547,2798194,2743187,2691163,2700166,2755888,2811526,2869919,2892628,2913699,3044128,3096993,3098436,3170329,3186898,3139012,3159388,3137057,3065428,2933016,2335344
20,        Goods,1262561,1186723,1142935,1102872,1118180,1193701,1221634,1243969,1274839,1274159,1284228,1332139,1408498,1488678,1528023,1604186,1636122,1679563,1726245,1819926,1851475,1895554,1939102,1896747,1934685,1977651,2012748,2073562,2160776,2253448,2269610,1893240,1521202,1471013,1603373,1745898,1832522,1920350,1979819,2046567,2168159,2243139,2260676,2290165,2326427,2314188,2282278,2282692,2294534,2293771,2296832,2300351,2364436,2407170,2394520,2400093,2329040,2304443,2291410,2227348,2178530,2187660,2233168,2284962,2334343,2342088,2351425,2479653,2533817,2531823,2596309,2600318,2550884,2556362,2534623,2460669,2377882,1928879
21,        Services,223248,224410,219435,208074,225127,225886,228042,240033,238192,235308,254643,263707,278181,287104,291118,301035,303231,307258,313399,319928,338694,345004,344377,363197,366709,376397,384752,390614,406395,415218,423725,418159,389237,385932,393183,403951,403532,408783,420900,428260,423586,443809,451966,448323,453275,458446,460340,461758,461492,465827,468894,475141,477791,487589,489638,496212,494766,500104,506785,515839,512633,512507,522720,526564,535576,550540,562274,564476,563176,566613,574020,586580,588128,603026,602434,604759,555134,406465
22,Government consumption expenditures and gross investment,1905413,1946995,1952705,1991988,2038946,2073495,2100432,2141997,2172360,2199425,2221212,2251834,2287338,2321398,2357154,2389668,2426905,2452909,2495099,2529054,2580699,2610894,2630650,2674694,2719157,2770314,2809030,2864876,2909263,2971120,3027545,3020030,3019656,3067595,3088993,3117803,3131884,3164663,3157912,3164129,3155982,3168577,3137494,3131435,3144668,3131040,3139625,3132709,3125038,3131988,3134089,3138519,3137427,3153250,3190944,3190319,3188054,3230559,3249111,3253199,3266365,3283135,3310907,3336728,3361607,3384217,3411104,3471131,3521462,3579974,3631175,3648034,3681467,3737643,3767055,3805331,3834115,3842394
23,    Federal,653074,666058,674303,686774,713948,734691,748241,775055,792325,825456,832696,854566,871330,884155,902163,909331,931542,938984,956063,963259,996583,996619,994938,1014626,1017150,1042026,1058287,1084570,1110312,1145505,1168671,1177852,1182968,1210848,1225532,1253408,1275709,1302584,1302262,1311120,1304742,1311836,1287976,1291167,1295621,1288150,1293331,1269058,1240004,1232345,1218396,1215565,1211039,1209042,1228206,1211721,1214892,1219564,1220249,1228464,1229417,1227123,1237803,1244478,1246509,1257907,1262748,1288269,1308077,1329297,1352028,1368395,1388750,1410626,1429281,1447946,1452551,1509249
24,        National defense,404456,410022,415419,422750,440905,452478,460190,482157,494975,521930,524011,543967,556149,562839,580699,579825,598417,605982,616390,616960,635719,639956,632375,655208,654605,674082,684421,703947,721214,742246,766263,771619,765428,782914,792801,809117,817507,828047,828900,837429,831587,843030,834975,826319,824076,816010,820214,796401,775346,770922,756980,753634,744314,741823,754077,733458,730261,732091,725882,730757,728219,722280,731471,732756,733244,746227,746384,763002,770205,786786,801960,818432,832971,844251,857701,874696,873780,877562
25,        Nondefense,248618,256037,258883,264023,273044,282214,288051,292898,297350,303526,308685,310599,315181,321316,321464,329506,333126,333002,339673,346299,360864,356664,362563,359418,362544,367943,373866,380624,389098,403258,402408,406233,417540,427934,432732,444290,458202,474538,473363,473691,473155,468806,453001,464848,471545,472140,473117,472657,464658,461424,461416,461931,466726,467219,474129,478262,484630,487473,494367,497707,501198,504843,506331,511722,513265,511680,516364,525267,537872,542512,550068,549964,555780,566375,571579,573250,578771,631688
26,    State and local,1252339,1280937,1278402,1305215,1324997,1338803,1352191,1366942,1380035,1373969,1388517,1397267,1416009,1437243,1454991,1480337,1495363,1513925,1539036,1565795,1584116,1614275,1635713,1660068,1702008,1728288,1750743,1780305,1798951,1825615,1858874,1842178,1836687,1856747,1863460,1864396,1856174,1862078,1855649,1853009,1851241,1856741,1849517,1840268,1849047,1842889,1846295,1863651,1885035,1899643,1915693,1922954,1926388,1944208,1962738,1978599,1973162,2010995,2028863,2024736,2036948,2056013,2073104,2092251,2115098,2126310,2148357,2182862,2213385,2250676,2279148,2279638,2292717,2327018,2337774,2357385,2381563,2333145
